,sps,episode_reward,step,_step,action_min,loss,reward_min,_runtime,action_mean,obs_max,reward_mean,sum_reward,episode,duration,mean_q,action_max,mae,episode_steps,reward_max,obs_min,_timestamp,obs_mean,mean_eps
0,195.98338458916356,19,5925,6,0,NaN,0,31.48703384399414,8.429530201342281,232,0.021252796420581657,175,7,4.561611188999905,NaN,17,NaN,894,1,0,1580726876.418587,48.60540032567837,NaN
1,225.12549602459558,37,9202,10,0,NaN,0,47.696406841278076,8.283037475345168,232,0.03648915187376726,285,11,4.504154428999982,NaN,17,NaN,1014,1,0,1580726892.62796,48.54983965972977,NaN
2,177.09814306867705,19,14228,16,0,NaN,0,73.4976487159729,8.382420091324201,232,0.021689497716894976,457,17,4.946409853999967,NaN,17,NaN,876,1,0,1580726918.4292018,48.600702533677094,NaN
3,208.16473823307734,29,15051,17,0,NaN,0,77.4850480556488,8.506682867557716,232,0.03523693803159174,486,18,3.953599476000136,NaN,17,NaN,823,1,0,1580726922.4166012,48.563332775394485,NaN
4,186.36910915190307,23,24465,29,0,NaN,0,126.24010586738586,8.377358490566039,232,0.033381712626995644,752,30,3.6969646050001757,NaN,17,NaN,689,1,0,1580726971.171659,48.59855738376628,NaN
5,172.5459219850963,28,26066,31,0,NaN,0,135.36193299293518,8.036755386565272,232,0.035487959442332066,807,32,4.57269572600012,NaN,17,NaN,789,1,0,1580726980.293486,48.576553244872095,NaN
6,195.10089511762786,30,30922,37,0,NaN,0,160.73327684402466,8.781818181818181,232,0.03409090909090909,949,38,4.510486738000054,NaN,17,NaN,880,1,0,1580727005.66483,48.586157332251084,NaN
7,182.13193968135775,21,31499,38,0,NaN,0,163.92219495773315,9.15944540727903,232,0.036395147313691506,970,39,3.168033026000103,NaN,17,NaN,577,1,0,1580727008.853748,48.461417105837135,NaN
8,204.94457622109306,18,40309,50,0,NaN,0,208.10409688949585,8.626623376623376,232,0.02922077922077922,1240,51,3.0056906669999535,NaN,17,NaN,616,1,0,1580727053.03565,48.52787923881674,NaN
9,212.78157138748338,22,41050,51,0,NaN,0,211.61107873916626,8.734143049932523,232,0.029689608636977057,1262,52,3.4824444389998916,NaN,17,NaN,741,1,0,1580727056.5426319,48.59777974392636,NaN
10,205.79211600712847,22,42687,53,0,NaN,0,220.21086382865906,8.661812297734627,232,0.03559870550161812,1320,54,3.0030304950000755,NaN,17,NaN,618,1,0,1580727065.142417,48.51813325114296,NaN
11,202.0188151953617,24,43787,54,0,NaN,0,225.74753499031067,9.129090909090909,232,0.02181818181818182,1344,55,5.445037378999814,NaN,17,NaN,1100,1,0,1580727070.679088,48.62572188723974,NaN
12,190.03496280727265,19,44374,55,0,NaN,0,228.8519537448883,8.637137989778536,232,0.03236797274275979,1363,56,3.0889052800000627,NaN,17,NaN,587,1,0,1580727073.7835069,48.512326310421955,NaN
13,174.62147262974383,23,47383,58,0,NaN,0,243.30295276641846,8.82392776523702,232,0.025959367945823927,1452,59,5.073831910000081,NaN,17,NaN,886,1,0,1580727088.234506,48.625705737524505,NaN
14,31.181503192749513,43,55845,68,0,0.034797052699431376,0,450.40377378463745,5.997026022304833,236,0.03197026022304833,1726,69,43.13454651899997,0.920915741418165,17,0.8491628391098905,1345,1,0,1580727295.335327,48.56854868961215,0.47793119999999994
15,31.666801691452406,20,72094,87,0,0.015971875559110383,0,989.6943669319153,5.589937106918239,232,0.025157232704402517,2206,88,25.10515611100027,0.9556018335735379,17,0.8766161401068145,795,1,0,1580727834.62592,48.58742744477246,0.4713216
16,32.18929311058443,16,75727,91,0,0.016267705023185246,0,1102.2741076946259,7.094986807387863,232,0.021108179419525065,2346,92,23.548202732999926,0.9508940281060637,17,0.8761435368704418,758,1,0,1580727947.2056608,48.61068369740156,0.4698608
17,32.552455206965305,38,77326,93,0,0.017309714082204473,0,1152.045066833496,6.504577822990845,232,0.038657171922685654,2402,94,30.197415025999817,0.9530343095946118,17,0.8792863013298531,983,1,0,1580727996.97662,48.58127437987742,0.4692664
18,32.26128245578421,28,79083,95,0,0.015844102776749684,0,1206.983060836792,5.529542920847269,232,0.03121516164994426,2449,96,27.80422635800005,0.9547029887991292,17,0.8779224290379456,897,1,0,1580728051.914614,48.61329684233411,0.46854640000000003
19,32.34505635359632,40,82492,98,0,0.01618347059149614,0,1311.8313698768616,6.244100294985251,236,0.029498525073746312,2543,99,41.92294442699995,0.9878787637460197,17,0.9118842730479958,1356,1,0,1580728156.762923,48.60577589565816,0.46727520000000006
20,32.129811680673555,39,91950,108,0,0.01634108143280656,0,1604.6612746715546,6.473975636766334,232,0.04318936877076412,2877,109,28.104739889999564,1.0339218457188226,17,0.9488507670111361,903,1,0,1580728449.5928278,48.59471310672663,0.4634008
21,32.57220887039177,37,100816,118,0,0.01784292721659815,0,1879.0831489562988,7.682565789473684,232,0.03042763157894737,3178,119,37.33243897700004,1.0685182847082615,17,0.9837927518314437,1216,1,0,1580728724.014702,48.59849901446324,0.45991760000000004
22,31.200503034478423,30,101566,119,0,0.01549074278173453,0,1903.1466176509857,6.188,232,0.04,3208,120,24.03807397499986,1.0698881884838671,17,0.9879921788864947,750,1,0,1580728748.0781708,48.57506632653061,0.459524
23,32.74674811685059,29,104343,122,0,0.01584682732527836,0,1989.131989955902,7.846385542168675,232,0.029116465863453816,3310,123,30.415233795000404,1.0634030783511548,17,0.9787603970991081,996,1,0,1580728834.063543,48.617444978326006,0.4584624
