,sps,episode_reward,step,_step,action_min,loss,reward_min,_runtime,action_mean,obs_max,reward_mean,sum_reward,episode,duration,mean_q,action_max,mae,episode_steps,reward_max,obs_min,_timestamp,obs_mean,mean_eps
0,316.1180705308318,3,2643,3,0,NaN,0,10.279537200927734,8.730547550432277,236,0.004322766570605188,12,4,2.1953822470022715,NaN,17,NaN,694,1,0,1579640485.868451,47.409887225783685,NaN
1,308.09637332698753,2,3253,4,0,NaN,0,12.274420976638794,8.414754098360655,236,0.003278688524590164,14,5,1.9798999690028722,NaN,17,NaN,610,1,0,1579640487.863335,47.273351827069625,NaN
2,378.0679932792325,2,3827,5,0,NaN,0,13.803942203521729,8.346689895470384,236,0.003484320557491289,16,6,1.5182454219975625,NaN,17,NaN,574,1,0,1579640489.3928561,47.26417307631531,NaN
3,427.252644488331,6,4594,6,0,NaN,0,15.613610982894897,8.511082138200782,236,0.007822685788787484,22,7,1.7951907610040507,NaN,17,NaN,767,1,0,1579640491.202525,47.43958871032115,NaN
4,455.4491427237096,5,6555,9,0,NaN,0,19.982964038848877,8.378561736770692,236,0.0067842605156037995,34,10,1.6181828679982573,NaN,17,NaN,737,1,0,1579640495.571878,47.29496803244138,NaN
5,429.32184029384047,11,9224,13,0,NaN,0,26.200241088867188,8.341437632135307,236,0.011627906976744186,52,14,2.2034751350001898,NaN,17,NaN,946,1,0,1579640501.789155,47.425247970929036,NaN
6,374.7835966738658,2,11774,17,0,NaN,0,32.729560136795044,8.486707566462167,236,0.00408997955010225,67,18,1.304752941003244,NaN,17,NaN,489,1,0,1579640508.318474,47.099112156791826,NaN
7,472.5891487228206,7,14783,21,0,NaN,0,39.354443073272705,8.681377825618945,236,0.007534983853606028,84,22,1.9657666760031134,NaN,17,NaN,929,1,0,1579640514.943357,47.45254967792643,NaN
8,468.5093169744183,8,15701,22,0,NaN,0,41.33097815513611,8.57843137254902,236,0.008714596949891068,92,23,1.9594060710005579,NaN,17,NaN,918,1,0,1579640516.919892,47.553035874843765,NaN
9,473.2956107861061,6,18857,27,0,NaN,0,48.19609594345093,8.610146862483312,236,0.00801068090787717,102,28,1.5825204859938822,NaN,17,NaN,749,1,0,1579640523.7850099,47.43971534986937,NaN
10,407.90262809736214,3,20305,29,0,NaN,0,51.67795395851135,8.566518847006652,236,0.0033259423503325942,106,30,2.2113120579961105,NaN,17,NaN,902,1,0,1579640527.2668679,47.38525703148961,NaN
11,453.83588621074455,3,20943,30,0,NaN,0,53.09526205062866,8.807210031347962,236,0.004702194357366771,109,31,1.4057945160020608,NaN,17,NaN,638,1,0,1579640528.684176,47.29903916895912,NaN
12,430.61618842400753,1,21428,31,0,NaN,0,54.231234073638916,8.731958762886597,236,0.002061855670103093,110,32,1.1262930029988638,NaN,17,NaN,485,1,0,1579640529.820148,47.10536298711925,NaN
13,389.3276266397681,5,24515,36,0,NaN,0,62.40532207489014,8.50943396226415,236,0.006738544474393531,121,37,1.9058498529993813,NaN,17,NaN,742,1,0,1579640537.994236,47.490786071841136,NaN
14,380.0044211644607,2,25054,37,0,NaN,0,63.83561325073242,8.662337662337663,236,0.0037105751391465678,123,38,1.4184045500005595,NaN,17,NaN,539,1,0,1579640539.4245272,47.1373488634786,NaN
15,376.06370759798847,2,25623,38,0,NaN,0,65.3617262840271,8.267135325131811,236,0.0035149384885764497,125,39,1.5130415099993115,NaN,17,NaN,569,1,0,1579640540.9506402,47.25003088523049,NaN
16,456.40460644909075,4,28800,42,0,NaN,0,73.17065215110779,8.365661861074706,236,0.005242463958060288,144,43,1.671762267993472,NaN,17,NaN,763,1,0,1579640548.759566,47.32588366277048,NaN
17,429.2246320139152,1,29339,43,0,NaN,0,74.43866109848022,8.77365491651206,236,0.0018552875695732839,145,44,1.255752721997851,NaN,17,NaN,539,1,0,1579640550.027575,47.14476738438109,NaN
18,380.43324060574724,1,29930,44,0,NaN,0,76.00690007209778,8.50253807106599,236,0.001692047377326565,146,45,1.553492011000344,NaN,17,NaN,591,1,0,1579640551.595814,47.263746925730246,NaN
19,363.791601468088,3,30569,45,0,NaN,0,77.77561020851135,7.945226917057903,236,0.004694835680751174,149,46,1.7565001429975382,NaN,17,NaN,639,1,0,1579640553.3645241,47.268105768650706,NaN
20,451.2688958242394,1,33924,50,0,NaN,0,85.87990593910217,8.574506283662478,236,0.0017953321364452424,161,51,1.2342973450067802,NaN,17,NaN,557,1,0,1579640561.4688199,47.183346258910504,NaN
21,423.751432763922,2,34521,51,0,NaN,0,87.29995322227478,8.629815745393635,236,0.0033500837520938024,163,52,1.4088447940011974,NaN,17,NaN,597,1,0,1579640562.8888671,47.25925854708159,NaN
22,472.2110877340819,5,35933,53,0,NaN,0,90.31169295310974,8.696185286103542,236,0.006811989100817439,173,54,1.5543895919981878,NaN,17,NaN,734,1,0,1579640565.9006069,47.44977760631955,NaN
23,480.38897369811076,4,38134,56,0,NaN,0,95.02033710479736,8.328869047619047,236,0.005952380952380952,184,57,1.3988664119970053,NaN,17,NaN,672,1,0,1579640570.609251,47.401471687385275,NaN
24,462.63857701180285,5,39635,58,0,NaN,0,98.26378011703491,8.590347923681257,236,0.005611672278338945,193,59,1.925909434001369,NaN,17,NaN,891,1,0,1579640573.852694,47.520190726870624,NaN
25,441.6218129266806,4,40302,59,0,NaN,0,99.788419008255,8.254872563718141,236,0.005997001499250375,197,60,1.5103420629966422,NaN,17,NaN,667,1,0,1579640575.377333,47.359066215191724,NaN
26,430.79941741820664,0,45466,67,0,NaN,0,112.98441123962402,8.30062630480167,236,0.0,217,68,1.1118863689989666,NaN,17,NaN,479,0,0,1579640588.5733252,47.06241182972841,NaN
27,440.0008562272598,1,46073,68,0,NaN,0,114.3752932548523,8.112026359143329,236,0.0016474464579901153,218,69,1.3795427699951688,NaN,17,NaN,607,1,0,1579640589.9642072,47.36873475364885,NaN
28,446.31134764810463,1,46596,69,0,NaN,0,115.55826807022095,8.298279158699808,236,0.0019120458891013384,219,70,1.1718277000036323,NaN,17,NaN,523,1,0,1579640591.147182,47.24461369952697,NaN
29,450.34438191821863,7,47435,70,0,NaN,0,117.4371829032898,8.185935637663885,236,0.00834326579261025,226,71,1.8630186890004552,NaN,17,NaN,839,1,0,1579640593.0260968,47.34284450768786,NaN
30,430.2445812264352,3,49384,73,0,NaN,0,122.00133204460144,8.5311004784689,236,0.004784688995215311,234,74,1.4573106259995257,NaN,17,NaN,627,1,0,1579640597.590246,47.25051015887482,NaN
31,160.7337607438657,3,50052,74,0,0.000504406374602695,0,126.17145609855652,8.535928143712574,236,0.004491017964071856,237,75,4.155940836004447,0.028975205185512703,17,0.013137190835550427,668,1,0,1579640601.76037,47.36020348758266,0.9549766000000001
32,43.6754793834149,2,50595,75,0,0.0036489446312490304,0,138.61658596992493,8.228360957642726,236,0.003683241252302026,239,76,12.43260538100003,0.022440801698180354,17,0.011644468255861498,543,1,0,1579640614.2055,47.149185364753635,0.9547102
33,44.742892667293,9,51643,76,0,0.003386812166201763,0,162.06309819221497,8.580152671755725,236,0.008587786259541985,248,77,23.422714480999275,0.02399279431525248,17,0.012672017403977802,1048,1,0,1579640637.652012,47.14076158453203,0.9539938
34,49.97265124445754,0,54522,81,0,0.0029254878980585395,0,223.3886661529541,8.382246376811594,236,0.0,255,82,11.046041909998166,0.01082946247534246,17,0.006853444488260193,552,0,0,1579640698.97758,47.19648531212002,0.9511786
35,49.28627158340013,4,60045,88,0,0.0020507931876636576,0,332.74398612976074,8.030050083472455,236,0.00667779632721202,296,89,12.153485762995842,0.0144033990179499,17,0.008929474127168456,599,1,0,1579640808.3329,47.269313652005046,0.9462286
36,52.25846406805631,3,61717,90,0,0.0026791566213256153,0,364.5250642299652,8.603978300180831,236,0.0054249547920434,308,91,10.582017858003383,0.030836866123320386,17,0.017618599575575735,553,1,0,1579640840.1139781,47.2916669229476,0.9447039999999999
37,50.38623803983145,4,64114,93,0,0.002573264475841701,0,411.85408997535706,8.795665634674922,236,0.006191950464396285,325,94,12.820961141995213,0.030345999210337062,17,0.01826777239042668,646,1,0,1579640887.443004,47.370345945395705,0.942589
38,50.579937353678815,5,68220,99,0,0.0034548797728477507,0,492.37279891967773,8.534693877551021,236,0.006802721088435374,343,100,14.531453348005016,0.029484493240632646,17,0.01678155691876926,735,1,0,1579640967.9617128,47.47596911780585,0.9389332
39,50.32183531986402,6,69611,101,0,0.0029093624944102996,0,520.0313460826874,8.854878048780488,236,0.007317073170731708,353,102,16.29511314100091,0.03780311702228174,17,0.020574525639233066,820,1,0,1579640995.62026,47.325773083623695,0.93772
40,50.79680172684558,5,70963,103,0,0.0037786461469243348,0,546.8712639808655,8.558571428571428,236,0.007142857142857143,360,104,13.780395147005038,0.05090076428438936,17,0.028870474249124527,700,1,0,1579641022.460178,47.40822015711046,0.9364492000000001
41,50.58300117605831,0,72190,105,0,0.0012207662230310852,0,571.099231004715,8.823529411764707,236,0.0,364,106,8.402032107995183,0.03677229089486712,17,0.02310085676188739,425,0,0,1579641046.688145,46.99266406562625,0.9352198
42,51.48615274036484,10,75624,108,0,0.003057918189023762,0,638.5738151073456,8.48189863234111,236,0.008045052292839904,392,109,24.142413713998394,0.04642928649461077,17,0.024777720231683023,1243,1,0,1579641114.162729,47.18157806163495,0.9324981999999999
43,51.604836839662276,0,76798,110,0,0.0024836142794310285,0,661.5222911834717,8.212341197822141,236,0.0,395,111,10.677293713997642,0.03717058142512173,17,0.02435516251548045,551,0,0,1579641137.111205,47.17797238375084,0.9311302
44,51.46363225789385,1,77298,111,0,0.002885813584274729,0,671.2494971752167,8.148,236,0.002,396,112,9.715598725997552,0.038819998919963836,17,0.026163529023528097,500,1,0,1579641146.838411,47.04282993197279,0.9306568
45,51.730260565990015,1,81459,117,0,0.002856822914973681,0,753.15949010849,8.515679442508711,236,0.0017421602787456446,420,118,11.096019887001603,0.05486787110567093,17,0.036419388948829026,574,1,0,1579641228.748404,47.17599645839753,0.9269452
46,50.367923382880505,4,84709,122,0,0.0026769607605444264,0,817.4906630516052,8.567307692307692,236,0.005494505494505495,436,123,14.45364333299949,0.05180744150305515,17,0.03407377656549215,728,1,0,1579641293.079577,47.44990780194862,0.9240885999999999
47,50.39343207327833,4,86020,124,0,0.001909503879084886,0,843.4983470439911,8.499276410998553,236,0.005788712011577424,443,125,13.712104366997664,0.05289149947117928,17,0.03540519284907469,691,1,0,1579641319.087261,47.13034980031569,0.9228934
48,50.87012918274017,8,86894,125,0,0.002635552300373225,0,860.6995720863342,8.508009153318078,236,0.009153318077803204,451,126,17.181006104001426,0.051177876571950304,17,0.034288578356305756,874,1,0,1579641336.288486,47.48847613988387,0.9221896000000002
49,50.500020532323305,4,88386,127,0,0.002075714336660463,0,890.2221601009369,8.899289099526067,236,0.004739336492890996,456,128,16.712864492001245,0.05071813410139197,17,0.031748005369969454,844,1,0,1579641365.811074,47.316914917625816,0.9208324000000002
50,49.831510702260076,0,91526,132,0,0.0027752257197230044,0,952.6810932159424,8.290865384615385,236,0.0,470,133,8.34813141599443,0.06715022722402444,17,0.046763835671859294,416,0,0,1579641428.2700071,46.949173780088955,0.9178138
51,50.278089050031525,11,92797,133,0,0.002498724140429012,0,977.9871501922607,8.523996852871754,236,0.00865460267505901,481,134,25.27940150500217,0.06811075020323759,17,0.04649978963974512,1271,1,0,1579641453.576064,47.50477231936572,0.9170542000000002
52,50.42845247202327,0,93212,134,0,0.0021787212665833632,0,986.2259321212769,8.404819277108434,236,0.0,481,135,8.229481168993516,0.06841788979843982,17,0.04882167619698256,415,0,0,1579641461.814846,46.889563013960604,0.9162964
53,50.15515208796458,1,93888,135,0,0.0025770199265466734,0,999.7202591896057,8.377218934911243,236,0.0014792899408284023,482,136,13.478176655000425,0.06544117909475897,17,0.046850319599082486,676,1,0,1579641475.309173,47.2126114499054,0.9158068
54,51.16789831432913,13,97600,140,0,0.00259116486813582,0,1073.8248810768127,8.747982062780268,236,0.011659192825112108,508,141,21.79100640699471,0.06382173981865961,17,0.04438352520517308,1115,1,0,1579641549.413795,47.46404637340736,0.9126622
55,52.05674070269926,6,98477,141,0,0.0018071429656960059,0,1090.6920280456543,8.695553021664766,236,0.0068415051311288486,514,142,16.847001717003877,0.061792061410167,17,0.043471071649004114,877,1,0,1579641566.280942,47.516230637066684,0.9117658
56,49.840562481014004,6,99910,143,0,0.0022329875705404257,0,1119.2305960655212,8.767548906789413,236,0.006904487917146145,522,144,17.435597769006563,0.06708620244868889,17,0.04472266235453193,869,1,0,1579641594.81951,47.43103063051074,0.9104715999999999
57,49.18347219678082,4,100639,144,0,0.0031673768529459608,0,1134.0708830356598,8.290809327846365,236,0.0054869684499314125,526,145,14.822052357005305,0.08531414142267389,17,0.05802257749978658,729,1,0,1579641609.659797,47.38722456289329,0.9097533999999999
58,51.94526671440387,5,101352,145,0,0.00314660889828732,0,1147.8098800182343,8.544179523141654,236,0.0070126227208976155,531,146,13.725985928998853,0.08500061004181926,17,0.06006528497830536,713,1,0,1579641623.398794,47.3930467699001,0.9091054
59,50.72304982958486,7,102687,147,0,0.0020186891949588288,0,1173.9196450710297,8.12778429073857,236,0.008206330597889801,539,148,16.81681213700358,0.08321181509836179,17,0.059222224697540626,853,1,0,1579641649.508559,47.470611925895795,0.907966
60,49.90210070763262,10,103710,148,0,0.0025901440743609783,0,1194.4434361457825,8.541544477028348,236,0.009775171065493646,549,149,20.500138981995406,0.0819654297811212,17,0.05815082816843642,1023,1,0,1579641670.03235,47.558028995240974,0.9071218000000001
61,50.60105422122464,3,106155,152,0,0.002335712229683555,0,1242.9043040275574,8.816498316498317,236,0.005050505050505051,562,153,11.738885862003372,0.08063334641927802,17,0.056832524721284174,594,1,0,1579641718.493218,47.25046286752636,0.9047278
62,50.345152090891695,3,110490,156,0,0.003161133942419735,0,1327.537365913391,8.952548330404218,236,0.005272407732864675,601,157,11.301981946002343,0.10913736577814734,17,0.07737667024345465,569,1,0,1579641803.1262798,47.255976541173,0.9008146
63,41.934017818763515,2,114378,161,0,0.0032151102797955823,0,1407.0310101509094,8.245931283905968,236,0.003616636528028933,633,162,13.187384103999648,0.10360855209654656,17,0.07153197164660778,553,1,0,1579641882.619924,47.19647982761519,0.8973081999999999
64,48.62132171528009,4,115651,163,0,0.0033256745870121882,0,1433.5739200115204,8.808035714285714,236,0.005952380952380952,640,164,13.821096924002632,0.10419731276730697,17,0.0750581883337526,672,1,0,1579641909.162834,47.38688156314113,0.8962173999999999
65,50.16493745746195,8,116594,164,0,0.003216058798728736,0,1452.3933999538422,8.325556733828208,236,0.008483563096500531,648,165,18.797990145998483,0.10831275108759686,17,0.07618392910808325,943,1,0,1579641927.9823139,47.492772409423296,0.8954902
66,50.75319294460432,3,117328,165,0,0.0024632749758336995,0,1466.873220205307,8.663487738419619,236,0.004087193460490463,651,166,14.46214429900283,0.11070369534153755,17,0.07531609770948769,734,1,0,1579641942.4621341,47.39772458711005,0.894736
67,50.99598594653883,3,119934,168,0,0.00244548840726464,0,1517.988471031189,8.531881804043547,236,0.004665629860031105,671,169,12.608835539998836,0.1032261677225184,17,0.0730843770994533,643,1,0,1579641993.577385,47.31857581031376,0.8923492000000001
68,50.7099847838616,7,120783,169,0,0.0026331043893391463,0,1534.7511491775513,8.488810365135453,236,0.008244994110718492,678,170,16.742264933003753,0.12223179722731968,17,0.08839191642220852,849,1,0,1579642010.340063,47.45419781575763,0.8916778
69,52.47640744168855,6,121548,170,0,0.002789885187914707,0,1549.3467950820923,8.626143790849673,236,0.00784313725490196,684,171,14.577979654000956,0.12697654607564368,17,0.08951442164042234,765,1,0,1579642024.935709,47.412981118373274,0.8909524000000001
70,51.2489624753875,3,123281,172,0,0.0028445072250875415,0,1583.283450126648,8.809840425531915,236,0.003989361702127659,695,173,14.673467787004483,0.12519393290611022,17,0.09007254215155511,752,1,0,1579642058.872364,47.43428955137019,0.8893846000000001
71,51.96666435367078,11,128298,177,0,0.002544611899743202,0,1680.9016282558441,8.720448662640207,236,0.009490940465918895,746,178,22.302759170997888,0.12380933610015903,17,0.0885724179318239,1159,1,0,1579642156.4905422,47.52218820372555,0.8850537999999999
72,52.039296998942255,6,129235,178,0,0.003615308240611747,0,1698.9272871017456,8.67769477054429,236,0.0064034151547491995,752,179,18.00562371200067,0.12472025078968105,17,0.08970829906562965,937,1,0,1579642174.516201,47.11146519262276,0.8841106
73,51.63137853030202,9,131037,180,0,0.002822107943175666,0,1733.9645149707794,8.649590163934427,236,0.009221311475409836,768,181,18.90323341700423,0.158799588802408,17,0.11561381172572004,976,1,0,1579642209.553429,47.52304659910412,0.882505
74,51.653416518165,4,131917,181,0,0.003047247337632474,0,1751.01993393898,8.415909090909091,236,0.004545454545454545,772,182,17.03662718400301,0.15717514038763264,17,0.11514394259588286,880,1,0,1579642226.6088479,47.46263206039992,0.8816698000000001
