,sps,episode_reward,step,_step,action_min,loss,reward_min,_runtime,action_mean,obs_max,reward_mean,sum_reward,episode,duration,mean_q,action_max,mae,episode_steps,reward_max,obs_min,_timestamp,obs_mean,mean_eps
0,196.25586771365255,5,4789,5,0,NaN,0,24.57178497314453,6.023479188900747,236,0.005336179295624333,26,6,4.774379542970564,NaN,17,NaN,937,1,0,1580075872.379564,47.43112925533073,NaN
1,217.05787593116165,5,10219,13,0,NaN,0,51.748379945755005,6.089488636363637,236,0.007102272727272727,50,14,3.2433745929738507,NaN,17,NaN,704,1,0,1580075899.556159,47.321721077161925,NaN
2,204.82412660280372,9,11333,14,0,NaN,0,57.23250985145569,6.371633752244165,236,0.00807899461400359,59,15,5.4388124020188116,NaN,17,NaN,1114,1,0,1580075905.040289,47.453732540293196,NaN
3,222.31073498622416,1,12573,16,0,NaN,0,63.339763879776,6.188888888888889,236,0.0015873015873015873,63,17,2.833871248003561,NaN,17,NaN,630,1,0,1580075911.147543,47.290687200806246,NaN
4,187.20801343835217,3,13134,17,0,NaN,0,66.37095093727112,6.311942959001782,236,0.0053475935828877,66,18,2.996666594000999,NaN,17,NaN,561,1,0,1580075914.17873,47.25215010246523,NaN
5,178.26168978611872,6,15860,21,0,NaN,0,81.27359175682068,6.073478760045925,236,0.006888633754305396,80,22,4.886075078975409,NaN,17,NaN,871,1,0,1580075929.0813708,47.56599671058626,NaN
6,164.83451846049908,6,17002,22,0,NaN,0,88.2650158405304,6.248686514886165,236,0.005253940455341506,86,23,6.928160501003731,NaN,17,NaN,1142,1,0,1580075936.072795,47.51823043870204,NaN
7,207.5791649744981,4,20795,27,0,NaN,0,107.61562299728394,6.408223201174743,236,0.005873715124816446,109,28,3.280676074035,NaN,17,NaN,681,1,0,1580075955.423402,47.35311071320354,NaN
8,180.39781998285056,4,22873,30,0,NaN,0,119.22745299339294,6.485365853658537,236,0.004878048780487805,115,31,4.545509474992286,NaN,17,NaN,820,1,0,1580075967.035232,47.48953217465848,NaN
9,187.1440821168425,2,23865,31,0,NaN,0,124.58181405067444,6.289314516129032,236,0.0020161290322580645,117,32,5.300728661997709,NaN,17,NaN,992,1,0,1580075972.3895931,47.423497818146075,NaN
10,182.77390166852388,1,31794,42,0,NaN,0,167.72187972068787,6.659889094269871,236,0.0018484288354898336,145,43,2.9599411899689585,NaN,17,NaN,541,1,0,1580076015.5296588,47.22022447303012,NaN
11,199.92102444917253,7,32624,43,0,NaN,0,171.89419984817505,6.204819277108434,236,0.008433734939759036,152,44,4.151639390038326,NaN,17,NaN,830,1,0,1580076019.701979,47.41197698959102,NaN
12,192.63746306182165,5,36684,48,0,NaN,0,192.56110501289368,6.437578814627995,236,0.006305170239596469,169,49,4.116540923016146,NaN,17,NaN,793,1,0,1580076040.368884,47.35263094308762,NaN
13,173.99644089713934,4,37399,49,0,NaN,0,196.6918740272522,6.276923076923077,236,0.005594405594405594,173,50,4.109279456024524,NaN,17,NaN,715,1,0,1580076044.499653,47.386132518275375,NaN
14,191.65369389488373,7,38500,50,0,NaN,0,202.4741439819336,6.138056312443234,236,0.006357856494096276,180,51,5.744736652995925,NaN,17,NaN,1101,1,0,1580076050.281923,47.45509068750116,NaN
15,207.16097237146056,3,39842,52,0,NaN,0,209.35785388946533,5.9018759018759015,236,0.004329004329004329,188,53,3.3452246920205653,NaN,17,NaN,693,1,0,1580076057.165633,47.344360146656065,NaN
16,185.3762668656334,3,42818,56,0,NaN,0,224.9804129600525,6.267229254571027,236,0.004219409282700422,203,57,3.8354424329590984,NaN,17,NaN,711,1,0,1580076072.788192,47.39174049835593,NaN
17,166.67300882249697,1,43310,57,0,NaN,0,227.951189994812,6.128048780487805,236,0.0020325203252032522,204,58,2.9518876720103435,NaN,17,NaN,492,1,0,1580076075.758969,47.12542517006803,NaN
18,226.62548091471731,1,44281,59,0,NaN,0,233.03516292572021,6.2239685658153245,236,0.0019646365422396855,206,60,2.245996336976532,NaN,17,NaN,509,1,0,1580076080.842942,47.085962872378815,NaN
19,203.45726698469326,3,45655,61,0,NaN,0,239.74294185638428,6.183035714285714,236,0.004464285714285714,210,62,3.3029048800235614,NaN,17,NaN,672,1,0,1580076087.550721,47.31892500303693,NaN
20,194.46658981481272,4,46355,62,0,NaN,0,243.36798691749573,6.467142857142857,236,0.005714285714285714,214,63,3.5995900409761816,NaN,17,NaN,700,1,0,1580076091.175766,47.421813654033045,NaN
21,183.45025209899737,6,48062,64,0,NaN,0,252.35555005073547,5.983127109111361,236,0.006749156355455568,225,65,4.846000426972751,NaN,17,NaN,889,1,0,1580076100.1633291,47.45524586850113,NaN
22,28.832788292582077,13,63849,79,0,0.003611067832198536,0,777.6357929706573,10.371311475409836,236,0.010655737704918032,359,80,42.312938576040324,0.5856117430280466,17,0.5382972387016797,1220,1,0,1580076625.443572,47.60493673562321,0.47470399999999996
23,25.277531501288575,7,76242,90,0,0.0036777396990770534,0,1238.321662902832,10.098159509202453,236,0.008588957055214725,472,91,32.24207237001974,0.580231142394683,17,0.5293047933601865,815,1,0,1580077086.129442,47.48467700986325,0.4696664
24,23.795532984559653,2,77672,92,0,0.0037984873976674863,0,1299.1202478408813,6.94,236,0.004,479,93,21.012347162992228,0.584342182636261,17,0.5370219068527222,500,1,0,1580077146.928027,47.19902692743764,0.46903200000000006
25,25.008947268306024,5,82503,98,0,0.002961222921591122,0,1492.7877898216248,6.578800557880056,236,0.00697350069735007,513,99,28.66973936598515,0.597628986702285,17,0.5477952118026478,717,1,0,1580077340.595569,47.45245823806045,0.4671424
